注文明細ID,注文ID,商品ID,商品名,商品カテゴリ,ブランド,単価,数量,割引率,明細金額,出荷倉庫ID
OI0000233,O000454,P009,スマートデスクライト,オフィス用品,LumaWorks,67.92,4,0.15,230.93,WH-BUSAN
OI0000234,O000282,P016,メッシュWi-Fiルーター,ネットワーク,LinkSphere,236.88,3,0.00,710.64,WH-BUSAN
OI0000235,O000082,P010,Bluetoothスピーカー,オーディオ,SonicArc,90.68,4,0.00,362.72,WH-SEOUL
OI0000236,O000706,P004,27インチモニター,ディスプレイ,ViewPeak,307.84,1,0.00,307.84,WH-DAEJEON
OI0000237,O000700,P016,メッシュWi-Fiルーター,ネットワーク,LinkSphere,222.37,1,0.10,200.13,WH-BUSAN
OI0000238,O000494,P008,ポータブルSSD 1TB,ストレージ,DataNest,147.78,1,0.00,147.78,WH-SEOUL
OI0000239,O000627,P016,メッシュWi-Fiルーター,ネットワーク,LinkSphere,234.71,1,0.00,234.71,WH-DAEJEON
OI0000240,O000181,P013,14インチ軽量ノートPC,コンピューター,NovaTech,1176.95,2,0.00,2353.90,WH-DAEJEON
OI0000241,O000563,P014,フィットネスウォッチ,ウェアラブル,PulseOn,168.14,2,0.00,336.28,WH-BUSAN
OI0000242,O000438,P009,スマートデスクライト,オフィス用品,LumaWorks,71.61,1,0.00,71.61,WH-SEOUL
OI0000243,O000617,P014,フィットネスウォッチ,ウェアラブル,PulseOn,189.68,1,0.00,189.68,WH-SEOUL
OI0000244,O000370,P004,27インチモニター,ディスプレイ,ViewPeak,286.30,1,0.05,271.99,WH-BUSAN
OI0000245,O000608,P001,ワイヤレスマウス,周辺機器,Nexio,29.05,1,0.05,27.60,WH-BUSAN
OI0000246,O000353,P003,USB-Cハブ,周辺機器,Nexio,50.72,1,0.00,50.72,WH-SEOUL
OI0000247,O000174,P015,65W急速充電器,周辺機器,VoltEdge,36.22,1,0.00,36.22,WH-DAEJEON
OI0000248,O000266,P011,エルゴノミクスチェア,オフィス用品,ErgoLab,391.03,2,0.10,703.85,WH-DAEJEON
OI0000249,O000013,P014,フィットネスウォッチ,ウェアラブル,PulseOn,173.82,2,0.00,347.64,WH-SEOUL
OI0000250,O000473,P003,USB-Cハブ,周辺機器,Nexio,54.89,3,0.05,156.44,WH-SEOUL
OI0000251,O000418,P001,ワイヤレスマウス,周辺機器,Nexio,30.93,2,0.15,52.58,WH-INCHEON
OI0000252,O000025,P001,ワイヤレスマウス,周辺機器,Nexio,29.33,1,0.00,29.33,WH-SEOUL
OI0000253,O000111,P003,USB-Cハブ,周辺機器,Nexio,51.67,1,0.10,46.50,WH-INCHEON
OI0000254,O000152,P012,11インチタブレット,コンピューター,NovaTech,683.21,2,0.00,1366.42,WH-SEOUL
OI0000255,O000319,P008,ポータブルSSD 1TB,ストレージ,DataNest,139.16,1,0.10,125.24,WH-BUSAN
OI0000256,O000567,P014,フィットネスウォッチ,ウェアラブル,PulseOn,179.44,1,0.10,161.50,WH-SEOUL
OI0000257,O000478,P015,65W急速充電器,周辺機器,VoltEdge,41.08,1,0.10,36.97,WH-INCHEON
OI0000258,O000105,P010,Bluetoothスピーカー,オーディオ,SonicArc,88.95,1,0.05,84.50,WH-INCHEON
OI0000259,O000599,P001,ワイヤレスマウス,周辺機器,Nexio,31.42,4,0.00,125.68,WH-BUSAN
OI0000260,O000327,P018,電子書籍リーダー,コンピューター,PageFlow,137.63,1,0.15,116.99,WH-DAEJEON
OI0000261,O000517,P002,メカニカルキーボード,周辺機器,KeyForge,84.80,2,0.00,169.60,WH-SEOUL
OI0000262,O000628,P010,Bluetoothスピーカー,オーディオ,SonicArc,91.71,1,0.00,91.71,WH-DAEJEON
OI0000263,O000065,P011,エルゴノミクスチェア,オフィス用品,ErgoLab,414.59,4,0.00,1658.36,WH-BUSAN
OI0000264,O000138,P003,USB-Cハブ,周辺機器,Nexio,54.51,2,0.10,98.12,WH-SEOUL
OI0000265,O000275,P007,高画質ウェブカメラ,周辺機器,VisionGo,108.75,3,0.10,293.62,WH-DAEJEON
OI0000266,O000188,P016,メッシュWi-Fiルーター,ネットワーク,LinkSphere,230.69,1,0.10,207.62,WH-SEOUL
OI0000267,O000434,P009,スマートデスクライト,オフィス用品,LumaWorks,68.34,2,0.00,136.68,WH-SEOUL
OI0000268,O000233,P002,メカニカルキーボード,周辺機器,KeyForge,84.77,4,0.05,322.13,WH-SEOUL
OI0000269,O000400,P018,電子書籍リーダー,コンピューター,PageFlow,158.55,4,0.05,602.49,WH-BUSAN
OI0000270,O000553,P005,ノートPCスタンド,オフィス用品,ErgoLab,43.38,1,0.00,43.38,WH-SEOUL
OI0000271,O000333,P001,ワイヤレスマウス,周辺機器,Nexio,29.86,1,0.00,29.86,WH-INCHEON
OI0000272,O000321,P017,4Kアクションカメラ,カメラ,VisionGo,325.87,2,0.10,586.57,WH-SEOUL
OI0000273,O000245,P018,電子書籍リーダー,コンピューター,PageFlow,139.23,1,0.10,125.31,WH-SEOUL
OI0000274,O000517,P011,エルゴノミクスチェア,オフィス用品,ErgoLab,369.03,1,0.05,350.58,WH-SEOUL
OI0000275,O000084,P009,スマートデスクライト,オフィス用品,LumaWorks,68.44,1,0.00,68.44,WH-SEOUL
OI0000276,O000416,P004,27インチモニター,ディスプレイ,ViewPeak,280.09,2,0.00,560.18,WH-BUSAN
OI0000277,O000170,P014,フィットネスウォッチ,ウェアラブル,PulseOn,176.35,1,0.00,176.35,WH-INCHEON
OI0000278,O000071,P013,14インチ軽量ノートPC,コンピューター,NovaTech,1104.08,1,0.00,1104.08,WH-SEOUL
OI0000279,O000452,P006,ノイズキャンセリングヘッドホン,オーディオ,SonicArc,207.15,2,0.05,393.58,WH-INCHEON
OI0000280,O000133,P004,27インチモニター,ディスプレイ,ViewPeak,297.04,1,0.05,282.19,WH-DAEJEON
OI0000281,O000149,P011,エルゴノミクスチェア,オフィス用品,ErgoLab,414.13,1,0.05,393.42,WH-SEOUL
OI0000282,O000318,P013,14インチ軽量ノートPC,コンピューター,NovaTech,1261.50,1,0.00,1261.50,WH-SEOUL
OI0000283,O000593,P003,USB-Cハブ,周辺機器,Nexio,58.54,1,0.05,55.61,WH-DAEJEON
OI0000284,O000026,P002,メカニカルキーボード,周辺機器,KeyForge,86.03,2,0.00,172.06,WH-BUSAN
OI0000285,O000141,P016,メッシュWi-Fiルーター,ネットワーク,LinkSphere,219.25,3,0.05,624.86,WH-SEOUL
OI0000286,O000441,P007,高画質ウェブカメラ,周辺機器,VisionGo,105.32,1,0.10,94.79,WH-SEOUL
OI0000287,O000367,P008,ポータブルSSD 1TB,ストレージ,DataNest,132.40,1,0.10,119.16,WH-INCHEON
OI0000288,O000264,P016,メッシュWi-Fiルーター,ネットワーク,LinkSphere,221.53,1,0.00,221.53,WH-INCHEON
OI0000289,O000638,P006,ノイズキャンセリングヘッドホン,オーディオ,SonicArc,210.14,1,0.00,210.14,WH-SEOUL
OI0000290,O000552,P013,14インチ軽量ノートPC,コンピューター,NovaTech,1127.51,1,0.00,1127.51,WH-SEOUL
OI0000291,O000349,P012,11インチタブレット,コンピューター,NovaTech,641.02,1,0.00,641.02,WH-SEOUL
OI0000292,O000288,P003,USB-Cハブ,周辺機器,Nexio,50.23,1,0.00,50.23,WH-SEOUL
OI0000293,O000021,P018,電子書籍リーダー,コンピューター,PageFlow,154.63,1,0.00,154.63,WH-SEOUL
OI0000294,O000225,P006,ノイズキャンセリングヘッドホン,オーディオ,SonicArc,213.56,1,0.20,170.85,WH-INCHEON
OI0000295,O000417,P006,ノイズキャンセリングヘッドホン,オーディオ,SonicArc,205.80,1,0.20,164.64,WH-BUSAN
OI0000296,O000378,P012,11インチタブレット,コンピューター,NovaTech,685.74,1,0.00,685.74,WH-SEOUL
OI0000297,O000357,P014,フィットネスウォッチ,ウェアラブル,PulseOn,166.87,1,0.15,141.84,WH-SEOUL
OI0000298,O000650,P011,エルゴノミクスチェア,オフィス用品,ErgoLab,380.79,1,0.00,380.79,WH-INCHEON
OI0000299,O000626,P013,14インチ軽量ノートPC,コンピューター,NovaTech,1117.11,2,0.00,2234.22,WH-DAEJEON
OI0000300,O000507,P003,USB-Cハブ,周辺機器,Nexio,56.50,1,0.05,53.67,WH-DAEJEON
OI0000301,O000381,P010,Bluetoothスピーカー,オーディオ,SonicArc,92.93,1,0.15,78.99,WH-BUSAN
OI0000302,O000501,P011,エルゴノミクスチェア,オフィス用品,ErgoLab,381.68,1,0.00,381.68,WH-SEOUL
OI0000303,O000262,P014,フィットネスウォッチ,ウェアラブル,PulseOn,170.05,1,0.10,153.05,WH-SEOUL
OI0000304,O000110,P012,11インチタブレット,コンピューター,NovaTech,638.50,1,0.00,638.50,WH-BUSAN
OI0000305,O000696,P008,ポータブルSSD 1TB,ストレージ,DataNest,149.73,1,0.10,134.76,WH-SEOUL
OI0000306,O000023,P009,スマートデスクライト,オフィス用品,LumaWorks,73.30,1,0.00,73.30,WH-SEOUL
OI0000307,O000460,P013,14インチ軽量ノートPC,コンピューター,NovaTech,1208.57,1,0.20,966.86,WH-DAEJEON
OI0000308,O000554,P005,ノートPCスタンド,オフィス用品,ErgoLab,47.89,2,0.05,90.99,WH-SEOUL
OI0000309,O000515,P010,Bluetoothスピーカー,オーディオ,SonicArc,99.25,1,0.10,89.33,WH-SEOUL
OI0000310,O000699,P009,スマートデスクライト,オフィス用品,LumaWorks,74.52,1,0.00,74.52,WH-SEOUL
OI0000311,O000073,P009,スマートデスクライト,オフィス用品,LumaWorks,67.51,1,0.05,64.13,WH-DAEJEON
OI0000312,O000583,P016,メッシュWi-Fiルーター,ネットワーク,LinkSphere,213.09,1,0.00,213.09,WH-BUSAN
OI0000313,O000325,P011,エルゴノミクスチェア,オフィス用品,ErgoLab,393.03,3,0.05,1120.14,WH-SEOUL
OI0000314,O000631,P004,27インチモニター,ディスプレイ,ViewPeak,270.54,1,0.05,257.01,WH-SEOUL
OI0000315,O000693,P009,スマートデスクライト,オフィス用品,LumaWorks,68.32,2,0.00,136.64,WH-DAEJEON
OI0000316,O000379,P006,ノイズキャンセリングヘッドホン,オーディオ,SonicArc,205.40,1,0.00,205.40,WH-SEOUL
OI0000317,O000490,P003,USB-Cハブ,周辺機器,Nexio,53.13,1,0.00,53.13,WH-DAEJEON
OI0000318,O000404,P006,ノイズキャンセリングヘッドホン,オーディオ,SonicArc,235.46,1,0.00,235.46,WH-SEOUL
OI0000319,O000411,P003,USB-Cハブ,周辺機器,Nexio,58.31,1,0.15,49.56,WH-SEOUL
OI0000320,O000200,P012,11インチタブレット,コンピューター,NovaTech,691.86,1,0.05,657.27,WH-SEOUL
OI0000321,O000400,P006,ノイズキャンセリングヘッドホン,オーディオ,SonicArc,223.42,1,0.00,223.42,WH-SEOUL
OI0000322,O000280,P002,メカニカルキーボード,周辺機器,KeyForge,87.32,2,0.05,165.91,WH-SEOUL
OI0000323,O000408,P011,エルゴノミクスチェア,オフィス用品,ErgoLab,383.24,2,0.00,766.48,WH-DAEJEON
OI0000324,O000045,P013,14インチ軽量ノートPC,コンピューター,NovaTech,1111.72,2,0.00,2223.44,WH-SEOUL
OI0000325,O000544,P013,14インチ軽量ノートPC,コンピューター,NovaTech,1283.87,2,0.10,2310.97,WH-SEOUL
OI0000326,O000384,P013,14インチ軽量ノートPC,コンピューター,NovaTech,1138.80,1,0.05,1081.86,WH-SEOUL
OI0000327,O000287,P012,11インチタブレット,コンピューター,NovaTech,627.17,1,0.10,564.45,WH-SEOUL
OI0000328,O000164,P013,14インチ軽量ノートPC,コンピューター,NovaTech,1183.05,2,0.05,2247.79,WH-DAEJEON
OI0000329,O000027,P015,65W急速充電器,周辺機器,VoltEdge,39.28,1,0.00,39.28,WH-INCHEON
OI0000330,O000317,P005,ノートPCスタンド,オフィス用品,ErgoLab,47.10,2,0.00,94.20,WH-SEOUL
OI0000331,O000459,P017,4Kアクションカメラ,カメラ,VisionGo,342.91,2,0.10,617.24,WH-DAEJEON
OI0000332,O000296,P018,電子書籍リーダー,コンピューター,PageFlow,137.81,1,0.00,137.81,WH-SEOUL
OI0000333,O000604,P008,ポータブルSSD 1TB,ストレージ,DataNest,142.09,1,0.10,127.88,WH-SEOUL
OI0000334,O000484,P016,メッシュWi-Fiルーター,ネットワーク,LinkSphere,240.27,1,0.00,240.27,WH-SEOUL
OI0000335,O000045,P010,Bluetoothスピーカー,オーディオ,SonicArc,89.26,4,0.05,339.19,WH-INCHEON
OI0000336,O000510,P011,エルゴノミクスチェア,オフィス用品,ErgoLab,383.19,1,0.00,383.19,WH-BUSAN
OI0000337,O000576,P002,メカニカルキーボード,周辺機器,KeyForge,87.26,3,0.15,222.51,WH-SEOUL
OI0000338,O000518,P011,エルゴノミクスチェア,オフィス用品,ErgoLab,424.41,2,0.00,848.82,WH-SEOUL
OI0000339,O000487,P009,スマートデスクライト,オフィス用品,LumaWorks,75.31,1,0.00,75.31,WH-DAEJEON
OI0000340,O000271,P001,ワイヤレスマウス,周辺機器,Nexio,29.29,1,0.10,26.36,WH-SEOUL
OI0000341,O000257,P007,高画質ウェブカメラ,周辺機器,VisionGo,109.31,1,0.10,98.38,WH-SEOUL
OI0000342,O000231,P010,Bluetoothスピーカー,オーディオ,SonicArc,92.69,1,0.00,92.69,WH-SEOUL
OI0000343,O000538,P010,Bluetoothスピーカー,オーディオ,SonicArc,102.53,1,0.00,102.53,WH-DAEJEON
OI0000344,O000539,P004,27インチモニター,ディスプレイ,ViewPeak,286.70,2,0.00,573.40,WH-SEOUL
OI0000345,O000415,P011,エルゴノミクスチェア,オフィス用品,ErgoLab,424.74,4,0.00,1698.96,WH-DAEJEON
OI0000346,O000323,P004,27インチモニター,ディスプレイ,ViewPeak,276.13,1,0.00,276.13,WH-BUSAN
OI0000347,O000649,P008,ポータブルSSD 1TB,ストレージ,DataNest,145.02,1,0.00,145.02,WH-SEOUL
OI0000348,O000389,P004,27インチモニター,ディスプレイ,ViewPeak,303.71,1,0.00,303.71,WH-SEOUL
OI0000349,O000020,P018,電子書籍リーダー,コンピューター,PageFlow,148.75,1,0.05,141.31,WH-BUSAN
OI0000350,O000640,P001,ワイヤレスマウス,周辺機器,Nexio,30.15,1,0.00,30.15,WH-SEOUL
OI0000351,O000477,P002,メカニカルキーボード,周辺機器,KeyForge,86.08,1,0.00,86.08,WH-INCHEON
OI0000352,O000239,P009,スマートデスクライト,オフィス用品,LumaWorks,71.53,1,0.10,64.38,WH-SEOUL
OI0000353,O000238,P016,メッシュWi-Fiルーター,ネットワーク,LinkSphere,229.09,2,0.00,458.18,WH-BUSAN
OI0000354,O000578,P003,USB-Cハブ,周辺機器,Nexio,56.53,1,0.05,53.70,WH-BUSAN
OI0000355,O000390,P009,スマートデスクライト,オフィス用品,LumaWorks,76.19,1,0.15,64.76,WH-DAEJEON
OI0000356,O000134,P002,メカニカルキーボード,周辺機器,KeyForge,89.68,1,0.00,89.68,WH-SEOUL
OI0000357,O000493,P006,ノイズキャンセリングヘッドホン,オーディオ,SonicArc,223.48,1,0.20,178.78,WH-SEOUL
OI0000358,O000632,P007,高画質ウェブカメラ,周辺機器,VisionGo,109.63,1,0.00,109.63,WH-SEOUL
OI0000359,O000056,P015,65W急速充電器,周辺機器,VoltEdge,41.56,2,0.00,83.12,WH-INCHEON
OI0000360,O000454,P011,エルゴノミクスチェア,オフィス用品,ErgoLab,415.96,1,0.00,415.96,WH-SEOUL
OI0000361,O000462,P003,USB-Cハブ,周辺機器,Nexio,55.44,1,0.00,55.44,WH-SEOUL
OI0000362,O000404,P009,スマートデスクライト,オフィス用品,LumaWorks,75.53,1,0.00,75.53,WH-SEOUL
OI0000363,O000557,P005,ノートPCスタンド,オフィス用品,ErgoLab,50.64,2,0.00,101.28,WH-SEOUL
OI0000364,O000060,P005,ノートPCスタンド,オフィス用品,ErgoLab,44.26,1,0.00,44.26,WH-SEOUL
OI0000365,O000631,P002,メカニカルキーボード,周辺機器,KeyForge,91.38,3,0.00,274.14,WH-SEOUL
OI0000366,O000678,P018,電子書籍リーダー,コンピューター,PageFlow,139.90,1,0.20,111.92,WH-SEOUL
OI0000367,O000515,P017,4Kアクションカメラ,カメラ,VisionGo,340.28,2,0.00,680.56,WH-SEOUL
OI0000368,O000068,P012,11インチタブレット,コンピューター,NovaTech,696.27,3,0.00,2088.81,WH-SEOUL
OI0000369,O000185,P016,メッシュWi-Fiルーター,ネットワーク,LinkSphere,237.79,1,0.00,237.79,WH-INCHEON
OI0000370,O000035,P018,電子書籍リーダー,コンピューター,PageFlow,150.63,1,0.00,150.63,WH-DAEJEON
OI0000371,O000064,P016,メッシュWi-Fiルーター,ネットワーク,LinkSphere,220.11,1,0.10,198.10,WH-DAEJEON
OI0000372,O000126,P001,ワイヤレスマウス,周辺機器,Nexio,28.96,1,0.00,28.96,WH-BUSAN
OI0000373,O000017,P002,メカニカルキーボード,周辺機器,KeyForge,89.91,1,0.00,89.91,WH-INCHEON
OI0000374,O000292,P011,エルゴノミクスチェア,オフィス用品,ErgoLab,374.29,1,0.05,355.58,WH-SEOUL
OI0000375,O000405,P004,27インチモニター,ディスプレイ,ViewPeak,306.08,1,0.05,290.78,WH-SEOUL
OI0000376,O000110,P017,4Kアクションカメラ,カメラ,VisionGo,331.71,1,0.00,331.71,WH-SEOUL
OI0000377,O000139,P018,電子書籍リーダー,コンピューター,PageFlow,150.49,1,0.00,150.49,WH-SEOUL
OI0000378,O000710,P009,スマートデスクライト,オフィス用品,LumaWorks,72.00,3,0.00,216.00,WH-INCHEON
OI0000379,O000248,P008,ポータブルSSD 1TB,ストレージ,DataNest,137.25,2,0.15,233.32,WH-DAEJEON
OI0000380,O000261,P005,ノートPCスタンド,オフィス用品,ErgoLab,47.18,3,0.00,141.54,WH-SEOUL
OI0000381,O000466,P010,Bluetoothスピーカー,オーディオ,SonicArc,89.17,1,0.00,89.17,WH-SEOUL
OI0000382,O000676,P012,11インチタブレット,コンピューター,NovaTech,603.86,1,0.05,573.67,WH-BUSAN
OI0000383,O000260,P005,ノートPCスタンド,オフィス用品,ErgoLab,49.91,1,0.00,49.91,WH-SEOUL
OI0000384,O000200,P012,11インチタブレット,コンピューター,NovaTech,600.82,1,0.05,570.78,WH-SEOUL
OI0000385,O000057,P015,65W急速充電器,周辺機器,VoltEdge,37.42,2,0.00,74.84,WH-BUSAN
OI0000386,O000286,P005,ノートPCスタンド,オフィス用品,ErgoLab,43.78,1,0.00,43.78,WH-SEOUL
OI0000387,O000421,P017,4Kアクションカメラ,カメラ,VisionGo,324.59,2,0.00,649.18,WH-SEOUL
OI0000388,O000443,P010,Bluetoothスピーカー,オーディオ,SonicArc,96.77,1,0.05,91.93,WH-BUSAN
OI0000389,O000331,P002,メカニカルキーボード,周辺機器,KeyForge,92.74,1,0.00,92.74,WH-INCHEON
OI0000390,O000255,P005,ノートPCスタンド,オフィス用品,ErgoLab,43.75,1,0.00,43.75,WH-SEOUL
OI0000391,O000252,P008,ポータブルSSD 1TB,ストレージ,DataNest,146.82,1,0.15,124.80,WH-BUSAN
OI0000392,O000472,P003,USB-Cハブ,周辺機器,Nexio,55.69,1,0.00,55.69,WH-SEOUL
OI0000393,O000654,P009,スマートデスクライト,オフィス用品,LumaWorks,73.08,1,0.00,73.08,WH-INCHEON
OI0000394,O000664,P007,高画質ウェブカメラ,周辺機器,VisionGo,102.26,1,0.00,102.26,WH-INCHEON
OI0000395,O000377,P009,スマートデスクライト,オフィス用品,LumaWorks,67.27,1,0.15,57.18,WH-DAEJEON
OI0000396,O000717,P014,フィットネスウォッチ,ウェアラブル,PulseOn,185.35,1,0.00,185.35,WH-SEOUL
OI0000397,O000015,P012,11インチタブレット,コンピューター,NovaTech,626.74,1,0.00,626.74,WH-DAEJEON
OI0000398,O000148,P006,ノイズキャンセリングヘッドホン,オーディオ,SonicArc,214.78,1,0.00,214.78,WH-SEOUL
OI0000399,O000402,P018,電子書籍リーダー,コンピューター,PageFlow,148.54,1,0.15,126.26,WH-INCHEON
OI0000400,O000561,P001,ワイヤレスマウス,周辺機器,Nexio,31.06,4,0.05,118.03,WH-SEOUL
OI0000401,O000256,P002,メカニカルキーボード,周辺機器,KeyForge,93.13,1,0.00,93.13,WH-SEOUL
OI0000402,O000324,P012,11インチタブレット,コンピューター,NovaTech,697.88,3,0.05,1988.96,WH-DAEJEON
OI0000403,O000136,P012,11インチタブレット,コンピューター,NovaTech,671.67,1,0.15,570.92,WH-SEOUL
OI0000404,O000340,P003,USB-Cハブ,周辺機器,Nexio,53.29,2,0.10,95.92,WH-SEOUL
OI0000405,O000105,P010,Bluetoothスピーカー,オーディオ,SonicArc,102.07,3,0.00,306.21,WH-SEOUL
OI0000406,O000145,P013,14インチ軽量ノートPC,コンピューター,NovaTech,1174.07,1,0.05,1115.37,WH-INCHEON
OI0000407,O000265,P016,メッシュWi-Fiルーター,ネットワーク,LinkSphere,229.37,1,0.00,229.37,WH-INCHEON
OI0000408,O000247,P002,メカニカルキーボード,周辺機器,KeyForge,85.86,1,0.10,77.27,WH-BUSAN
OI0000409,O000122,P002,メカニカルキーボード,周辺機器,KeyForge,84.01,1,0.00,84.01,WH-SEOUL
OI0000410,O000278,P002,メカニカルキーボード,周辺機器,KeyForge,94.34,2,0.05,179.25,WH-SEOUL
OI0000411,O000255,P003,USB-Cハブ,周辺機器,Nexio,50.54,2,0.00,101.08,WH-DAEJEON
OI0000412,O000474,P009,スマートデスクライト,オフィス用品,LumaWorks,72.01,3,0.10,194.43,WH-SEOUL
OI0000413,O000008,P017,4Kアクションカメラ,カメラ,VisionGo,353.86,1,0.00,353.86,WH-INCHEON
OI0000414,O000115,P013,14インチ軽量ノートPC,コンピューター,NovaTech,1157.59,2,0.00,2315.18,WH-BUSAN
OI0000415,O000658,P004,27インチモニター,ディスプレイ,ViewPeak,271.20,1,0.00,271.20,WH-SEOUL
OI0000416,O000276,P001,ワイヤレスマウス,周辺機器,Nexio,31.76,1,0.00,31.76,WH-INCHEON
OI0000417,O000189,P018,電子書籍リーダー,コンピューター,PageFlow,138.01,1,0.00,138.01,WH-SEOUL
OI0000418,O000140,P004,27インチモニター,ディスプレイ,ViewPeak,308.80,1,0.00,308.80,WH-DAEJEON
OI0000419,O000116,P003,USB-Cハブ,周辺機器,Nexio,54.59,1,0.00,54.59,WH-DAEJEON
OI0000420,O000290,P016,メッシュWi-Fiルーター,ネットワーク,LinkSphere,225.05,2,0.00,450.10,WH-DAEJEON
OI0000421,O000476,P014,フィットネスウォッチ,ウェアラブル,PulseOn,178.33,1,0.00,178.33,WH-SEOUL
OI0000422,O000172,P005,ノートPCスタンド,オフィス用品,ErgoLab,47.28,2,0.00,94.56,WH-BUSAN
OI0000423,O000549,P008,ポータブルSSD 1TB,ストレージ,DataNest,138.55,1,0.00,138.55,WH-BUSAN
OI0000424,O000498,P009,スマートデスクライト,オフィス用品,LumaWorks,68.44,4,0.10,246.38,WH-SEOUL
OI0000425,O000479,P016,メッシュWi-Fiルーター,ネットワーク,LinkSphere,234.64,1,0.00,234.64,WH-BUSAN
OI0000426,O000682,P015,65W急速充電器,周辺機器,VoltEdge,38.39,1,0.05,36.47,WH-DAEJEON
OI0000427,O000250,P002,メカニカルキーボード,周辺機器,KeyForge,89.67,3,0.15,228.66,WH-BUSAN
OI0000428,O000169,P011,エルゴノミクスチェア,オフィス用品,ErgoLab,369.40,1,0.00,369.40,WH-BUSAN
OI0000429,O000662,P004,27インチモニター,ディスプレイ,ViewPeak,289.03,1,0.20,231.22,WH-SEOUL
OI0000430,O000619,P012,11インチタブレット,コンピューター,NovaTech,604.56,2,0.00,1209.12,WH-DAEJEON
OI0000431,O000569,P009,スマートデスクライト,オフィス用品,LumaWorks,74.38,1,0.00,74.38,WH-SEOUL
OI0000432,O000385,P009,スマートデスクライト,オフィス用品,LumaWorks,68.37,2,0.00,136.74,WH-INCHEON
OI0000433,O000392,P005,ノートPCスタンド,オフィス用品,ErgoLab,48.78,1,0.00,48.78,WH-BUSAN
OI0000434,O000699,P001,ワイヤレスマウス,周辺機器,Nexio,31.64,1,0.00,31.64,WH-BUSAN
OI0000435,O000449,P004,27インチモニター,ディスプレイ,ViewPeak,276.34,1,0.05,262.52,WH-DAEJEON
OI0000436,O000213,P012,11インチタブレット,コンピューター,NovaTech,614.54,2,0.00,1229.08,WH-SEOUL
OI0000437,O000640,P016,メッシュWi-Fiルーター,ネットワーク,LinkSphere,218.40,1,0.00,218.40,WH-SEOUL
OI0000438,O000675,P016,メッシュWi-Fiルーター,ネットワーク,LinkSphere,222.50,1,0.00,222.50,WH-SEOUL
OI0000439,O000044,P018,電子書籍リーダー,コンピューター,PageFlow,154.86,1,0.20,123.89,WH-DAEJEON
OI0000440,O000425,P004,27インチモニター,ディスプレイ,ViewPeak,291.16,2,0.10,524.09,WH-DAEJEON
OI0000441,O000351,P005,ノートPCスタンド,オフィス用品,ErgoLab,44.77,3,0.00,134.31,WH-SEOUL
OI0000442,O000469,P012,11インチタブレット,コンピューター,NovaTech,653.99,2,0.00,1307.98,WH-SEOUL
OI0000443,O000603,P013,14インチ軽量ノートPC,コンピューター,NovaTech,1169.70,4,0.00,4678.80,WH-BUSAN
OI0000444,O000584,P013,14インチ軽量ノートPC,コンピューター,NovaTech,1180.26,1,0.15,1003.22,WH-BUSAN
OI0000445,O000634,P001,ワイヤレスマウス,周辺機器,Nexio,28.47,2,0.10,51.25,WH-BUSAN
OI0000446,O000202,P015,65W急速充電器,周辺機器,VoltEdge,41.47,1,0.05,39.40,WH-DAEJEON
OI0000447,O000226,P008,ポータブルSSD 1TB,ストレージ,DataNest,133.80,1,0.00,133.80,WH-SEOUL
OI0000448,O000720,P009,スマートデスクライト,オフィス用品,LumaWorks,68.74,1,0.00,68.74,WH-DAEJEON
OI0000449,O000296,P015,65W急速充電器,周辺機器,VoltEdge,37.66,2,0.05,71.55,WH-BUSAN
OI0000450,O000127,P006,ノイズキャンセリングヘッドホン,オーディオ,SonicArc,202.27,2,0.00,404.54,WH-DAEJEON
OI0000451,O000528,P016,メッシュWi-Fiルーター,ネットワーク,LinkSphere,233.55,2,0.00,467.10,WH-BUSAN
OI0000452,O000436,P004,27インチモニター,ディスプレイ,ViewPeak,299.76,1,0.05,284.77,WH-SEOUL
OI0000453,O000394,P012,11インチタブレット,コンピューター,NovaTech,655.32,1,0.00,655.32,WH-BUSAN
OI0000454,O000568,P016,メッシュWi-Fiルーター,ネットワーク,LinkSphere,224.14,1,0.00,224.14,WH-SEOUL
OI0000455,O000065,P014,フィットネスウォッチ,ウェアラブル,PulseOn,170.54,1,0.15,144.96,WH-DAEJEON
OI0000456,O000521,P006,ノイズキャンセリングヘッドホン,オーディオ,SonicArc,226.08,1,0.00,226.08,WH-SEOUL
OI0000457,O000367,P009,スマートデスクライト,オフィス用品,LumaWorks,70.14,1,0.10,63.13,WH-INCHEON
OI0000458,O000662,P002,メカニカルキーボード,周辺機器,KeyForge,89.20,4,0.00,356.80,WH-SEOUL
OI0000459,O000080,P014,フィットネスウォッチ,ウェアラブル,PulseOn,165.65,2,0.00,331.30,WH-DAEJEON
OI0000460,O000527,P015,65W急速充電器,周辺機器,VoltEdge,37.66,1,0.10,33.89,WH-SEOUL
OI0000461,O000356,P005,ノートPCスタンド,オフィス用品,ErgoLab,44.43,1,0.00,44.43,WH-DAEJEON
OI0000462,O000653,P018,電子書籍リーダー,コンピューター,PageFlow,139.57,3,0.05,397.77,WH-BUSAN
OI0000463,O000336,P002,メカニカルキーボード,周辺機器,KeyForge,85.57,1,0.00,85.57,WH-SEOUL
OI0000464,O000016,P011,エルゴノミクスチェア,オフィス用品,ErgoLab,384.65,1,0.00,384.65,WH-SEOUL
